Alloy_No.,Temperatue (C),Force (N),Hardness(HV)
Allloy 1,27,1625.7,685.06998
Allloy 1,200,1547.9,652.28506
Allloy 1,400,1464.4,617.09816
Allloy 1,600,1340.2,564.76028
Allloy 1,800,1115.9,470.24026
Alloy 2,27,1609.7,678.32758
Alloy 2,200,1535.2,646.93328
Alloy 2,400,1457.1,614.02194
Alloy 2,600,1346.3,567.33082
Alloy 2,800,1131,476.6034
Alloy 3,27,1591.4,670.61596
Alloy 3,200,1516.9,639.22166
Alloy 3,400,1438.1,606.01534
Alloy 3,600,1326.3,558.90282
Alloy 3,800,1111,468.1754
Alloy 4,27,1516.8,639.17952
Alloy 4,200,1449,610.6086
Alloy 4,400,1370.1,577.36014
Alloy 4,600,1266,533.4924
Alloy 4,800,1089.5,459.1153
Alloy 5,27,1549.9,653.12786
Alloy 5,200,1477.1,622.44994
Alloy 5,400,1400.3,590.08642
Alloy 5,600,1292.7,544.74378
Alloy 5,800,1082.8,456.29192
