ALLOY_NO,LOADING CONDITION,EQUIVALENT ALTERNATING STRESS (Pa),LIFE CYCLES
ALLOY 1,20kN,8.57E+08,3.15E+08
ALLOY 1,25kN,1.07E+09,1980.8
ALLOY 1,30kN,1.29E+09,0
ALLOY 2,20kN,8.57E+08,2.78E+05
ALLOY 2,25kN,1.07E+09,1753.4
ALLOY 2,30kN,1.29E+09,0
ALLOY 3,20kN,8.56E+08,2.26E+05
ALLOY 3,25kN,1.07E+09,1422.3
ALLOY 3,30kN,1.29E+09,0
ALLOY 4,20kN,8.57E+08,1.28E+05
ALLOY 4,25kN,1.07E+09,0
ALLOY 4,30kN,1.29E+09,0
ALLOY 5,20kN,8.57E+08,1.25E+05
ALLOY 5,25kN,1.07E+09,0
ALLOY 5,30kN,1.28E+09,0
